Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\SenseEdge_AI\Project Outputs for SenseEdge_AI\Pick Place for main.csv

========================================================================================================================
File Design Information:

Date:       31/03/26
Time:       02:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description","ComponentKind","Height(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Variation","Availability","Check_prices","Copyright","Digi-Key_Part_Number","Manufacturer_Name","Manufacturer_Part_Number","MF","MP","Package","Price","Purchase-URL","RefDes","SnapEDA_Link","Type","Value"
"Y1","ECS-2520S33-200-FN-TR","TopLayer","OSC_ECS-2520S33-200-FN-TR","","1013.583","871.457","0","20 MHz XO (Standard) HCMOS Oscillator 3.3V Enable/Disable 4-SMD, No Lead","Standard","0.000","1013.583","871.457","977.165","842.913","Fitted","","https://www.snapeda.com/parts/ECS-2520S33-200-FN-TR/ECS/view-part/?ref=eda","","","","","ECS Inc.","ECS-2520S33-200-FN-TR","SMD-4 ECS Inc.","","","","https://www.snapeda.com/parts/ECS-2520S33-200-FN-TR/ECS/view-part/?ref=snap","",""
"U6","AP2112K-3.3TRG1","TopLayer","SOT95P285X140-5N","","635.000","365.000","0","Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-25","Standard","0.000","635.000","365.000","588.346","402.402","Fitted","In Stock","https://www.snapeda.com/parts/AP2112K-3.3TRG1/Diodes+Inc./view-part/?ref=eda","","","","","Diodes Inc.","AP2112K-3.3TRG1","SOT-753 Diodes Inc.","None","https://pricing.snapeda.com/search/part/AP2112K-3.3TRG1/?ref=eda","","https://www.snapeda.com/parts/AP2112K-3.3TRG1/Diodes+Inc./view-part/?ref=snap","",""
"U5","MIC5232-1.8YD5","TopLayer","TSOT-23-5_D5_MCL","","1145.000","185.000","0","No Description Available","Standard","0.000","1145.000","185.000","1094.750","222.402","Fitted","","","Copyright (C) 2026 Ultra Librarian. All rights reserved.","","Micrel / Microchip Technology","MIC5232-1.8YD5","","","","","","RefDes","","Type",""
"U4","W25Q32JVSSIQ","TopLayer","SOIC127P790X216-8N","","1451.732","620.000","0","FLASH - NOR Memory IC 32Mb (4M x 8) SPI - Quad I/O 133 MHz 8-SOIC","Standard","0.000","1451.732","620.000","1310.000","695.000","Fitted","","https://www.snapeda.com/parts/W25Q32JVSSIQ/Winbond+Electronics/view-part/?ref=eda","","","","","Winbond","W25Q32JVSSIQ","SOIC-8 Winbond","","","","https://www.snapeda.com/parts/W25Q32JVSSIQ/Winbond+Electronics/view-part/?ref=snap","",""
"U3","Edge AI PM v1","TopLayer","QFN50P900X900X100_HS-65N","QFN, 64-Leads, Body 9.00x9.00mm, Pitch 0.50mm, Thermal Pad 7.65x7.65mm, IPC Medium Density","1410.000","1120.000","90","","Standard","39.370","1410.000","1120.000","1262.362","945.787","Fitted","","","","","","","","","","","","","","",""
"U2","ADXL326BCPZ-RL7","TopLayer","QFN65P400X400X150-17N","","160.000","1050.000","0","Accelerometer X, Y, Z Axis ±19g 1.6kHz (X,Y), 550Hz (Z) 16-LFCSP-LQ (4x4)","Standard","0.000","160.000","1050.000","84.000","1088.000","Fitted","","https://www.snapeda.com/parts/ADXL326BCPZ-RL7/Analog%20Devices%20Inc./view-part/799712/?ref=eda","","ADXL326BCPZ-RL7CT-ND","","","Analog Devices","ADXL326BCPZ-RL7","LFCSP -16 Analog Devices","","","","https://www.snapeda.com/parts/ADXL326BCPZ-RL7/Analog%20Devices%20Inc./view-part/799712/?ref=snap","",""
"U1","ESP32-C3-MINI-1-N4","TopLayer","XCVR_ESP32-C3-MINI-1-N4","","2055.000","1022.244","270","","Standard","100.394","2161.299","1022.244","2212.480","1254.528","Fitted","Unavailable","","","","","","{'manufacturer': u'Espressif Systems'}","ESP32-C3-MINI-1-N4","None","None","","","","",""
"SW1","1825910-6","TopLayer","SW_1825910-6-4","","1660.000","215.000","90","Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole","Standard","0.000","1660.000","215.000","1571.417","87.047","Fitted","","https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda","","450-1650-ND","","","TE Connectivity","1825910-6","None","","https://pricing.snapeda.com/search/part/1825910-6/?ref=eda","","https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap","",""
"R9","RC0402FR-075K1L","TopLayer","RESC1005X40N","","397.008","505.000","180","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","Standard","0.000","397.008","505.000","414.016","505.000","Fitted","","https://www.snapeda.com/parts/RC0402FR-075K1L/Yageo/view-part/?ref=eda","","","","","Yageo","RC0402FR-075K1L","1005 Panasonic Electronic Components","","","","https://www.snapeda.com/parts/RC0402FR-075K1L/Yageo/view-part/?ref=snap","",""
"R8","RC0402FR-075K1L","TopLayer","RESC1005X40N","","407.008","625.000","180","5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","Standard","0.000","407.008","625.000","424.016","625.000","Fitted","","https://www.snapeda.com/parts/RC0402FR-075K1L/Yageo/view-part/?ref=eda","","","","","Yageo","RC0402FR-075K1L","1005 Panasonic Electronic Components","","","","https://www.snapeda.com/parts/RC0402FR-075K1L/Yageo/view-part/?ref=snap","",""
